PCA_GHG_Bio,Composite_Water,grouping,sex,diet_group,age_group
0.199,1.404,vegan_female_20-29,female,vegan,20-29
0.281,1.584,vegan_female_30-39,female,vegan,30-39
0.300,1.858,vegan_female_40-49,female,vegan,40-49
0.197,1.869,vegan_female_50-59,female,vegan,50-59
0.252,1.920,vegan_female_60-69,female,vegan,60-69
0.355,2.115,vegan_female_70-79,female,vegan,70-79
0.373,1.682,vegan_male_20-29,male,vegan,20-29
0.291,1.704,vegan_male_30-39,male,vegan,30-39
0.289,1.777,vegan_male_40-49,male,vegan,40-49
0.255,1.644,vegan_male_50-59,male,vegan,50-59
0.199,2.180,vegan_male_60-69,male,vegan,60-69
0.725,2.208,vegan_male_70-79,male,vegan,70-79
1.467,1.740,veggie_female_20-29,female,veggie,20-29
1.461,1.860,veggie_female_30-39,female,veggie,30-39
1.401,1.960,veggie_female_40-49,female,veggie,40-49
1.323,2.097,veggie_female_50-59,female,veggie,50-59
1.416,2.383,veggie_female_60-69,female,veggie,60-69
1.504,2.455,veggie_female_70-79,female,veggie,70-79
1.788,1.991,veggie_male_20-29,male,veggie,20-29
1.731,2.042,veggie_male_30-39,male,veggie,30-39
1.570,2.068,veggie_male_40-49,male,veggie,40-49
1.443,2.142,veggie_male_50-59,male,veggie,50-59
1.466,2.349,veggie_male_60-69,male,veggie,60-69
1.602,2.706,veggie_male_70-79,male,veggie,70-79
1.217,2.772,fish_female_20-29,female,fish,20-29
1.200,2.875,fish_female_30-39,female,fish,30-39
1.219,2.901,fish_female_40-49,female,fish,40-49
1.213,3.140,fish_female_50-59,female,fish,50-59
1.351,3.178,fish_female_60-69,female,fish,60-69
1.435,3.007,fish_female_70-79,female,fish,70-79
1.499,3.158,fish_male_20-29,male,fish,20-29
1.341,2.961,fish_male_30-39,male,fish,30-39
1.321,2.873,fish_male_40-49,male,fish,40-49
1.300,2.989,fish_male_50-59,male,fish,50-59
1.444,2.931,fish_male_60-69,male,fish,60-69
1.552,3.091,fish_male_70-79,male,fish,70-79
1.359,2.671,meat <50_female_20-29,female,meat50,20-29
1.410,2.825,meat <50_female_30-39,female,meat50,30-39
1.436,2.786,meat <50_female_40-49,female,meat50,40-49
1.486,2.955,meat <50_female_50-59,female,meat50,50-59
1.573,2.963,meat <50_female_60-69,female,meat50,60-69
1.593,2.862,meat <50_female_70-79,female,meat50,70-79
1.495,2.499,meat <50_male_20-29,male,meat50,20-29
1.591,2.889,meat <50_male_30-39,male,meat50,30-39
1.556,2.657,meat <50_male_40-49,male,meat50,40-49
1.634,2.685,meat <50_male_50-59,male,meat50,50-59
1.665,2.698,meat <50_male_60-69,male,meat50,60-69
1.744,2.906,meat <50_male_70-79,male,meat50,70-79
2.837,3.277,meat 100+_female_20-29,female,meat100,20-29
2.802,3.228,meat 100+_female_30-39,female,meat100,30-39
2.868,3.171,meat 100+_female_40-49,female,meat100,40-49
2.903,3.339,meat 100+_female_50-59,female,meat100,50-59
2.904,3.360,meat 100+_female_60-69,female,meat100,60-69
3.075,3.433,meat 100+_female_70-79,female,meat100,70-79
3.632,3.414,meat 100+_male_20-29,male,meat100,20-29
3.165,3.307,meat 100+_male_30-39,male,meat100,30-39
3.046,2.966,meat 100+_male_40-49,male,meat100,40-49
3.043,3.021,meat 100+_male_50-59,male,meat100,50-59
3.070,3.132,meat 100+_male_60-69,male,meat100,60-69
3.194,3.272,meat 100+_male_70-79,male,meat100,70-79
1.955,2.884,meat50-99_female_20-29,female,meat,20-29
1.993,2.875,meat50-99_female_30-39,female,meat,30-39
2.017,2.865,meat50-99_female_40-49,female,meat,40-49
2.055,2.998,meat50-99_female_50-59,female,meat,50-59
2.121,3.098,meat50-99_female_60-69,female,meat,60-69
2.223,3.060,meat50-99_female_70-79,female,meat,70-79
2.166,2.995,meat50-99_male_20-29,male,meat,20-29
2.262,2.959,meat50-99_male_30-39,male,meat,30-39
2.151,2.686,meat50-99_male_40-49,male,meat,40-49
2.134,2.766,meat50-99_male_50-59,male,meat,50-59
2.194,2.804,meat50-99_male_60-69,male,meat,60-69
2.223,2.856,meat50-99_male_70-79,male,meat,70-79
0.288,1.337,vegan_female_20-29,female,vegan,20-29
0.395,1.488,vegan_female_30-39,female,vegan,30-39
0.337,1.713,vegan_female_40-49,female,vegan,40-49
0.362,1.408,vegan_female_50-59,female,vegan,50-59
0.360,1.337,vegan_female_60-69,female,vegan,60-69
0.498,1.679,vegan_female_70-79,female,vegan,70-79
0.449,1.506,vegan_male_20-29,male,vegan,20-29
0.465,1.475,vegan_male_30-39,male,vegan,30-39
0.493,1.539,vegan_male_40-49,male,vegan,40-49
0.364,1.258,vegan_male_50-59,male,vegan,50-59
0.366,1.633,vegan_male_60-69,male,vegan,60-69
0.442,1.354,vegan_male_70-79,male,vegan,70-79
0.919,2.116,veggie_female_20-29,female,veggie,20-29
0.952,2.180,veggie_female_30-39,female,veggie,30-39
0.944,2.252,veggie_female_40-49,female,veggie,40-49
0.948,2.359,veggie_female_50-59,female,veggie,50-59
1.012,2.314,veggie_female_60-69,female,veggie,60-69
1.058,2.193,veggie_female_70-79,female,veggie,70-79
1.128,2.175,veggie_male_20-29,male,veggie,20-29
1.106,2.155,veggie_male_30-39,male,veggie,30-39
1.060,2.093,veggie_male_40-49,male,veggie,40-49
1.032,2.007,veggie_male_50-59,male,veggie,50-59
1.067,2.094,veggie_male_60-69,male,veggie,60-69
1.224,2.105,veggie_male_70-79,male,veggie,70-79
1.482,1.440,fish_female_20-29,female,fish,20-29
1.591,1.362,fish_female_30-39,female,fish,30-39
1.645,1.351,fish_female_40-49,female,fish,40-49
1.667,1.488,fish_female_50-59,female,fish,50-59
1.723,1.599,fish_female_60-69,female,fish,60-69
1.624,1.508,fish_female_70-79,female,fish,70-79
1.872,1.665,fish_male_20-29,male,fish,20-29
1.770,1.566,fish_male_30-39,male,fish,30-39
1.740,1.411,fish_male_40-49,male,fish,40-49
1.782,1.521,fish_male_50-59,male,fish,50-59
1.753,1.502,fish_male_60-69,male,fish,60-69
1.717,1.745,fish_male_70-79,male,fish,70-79
1.701,1.495,meat <50_female_20-29,female,meat50,20-29
1.814,1.496,meat <50_female_30-39,female,meat50,30-39
1.923,1.514,meat <50_female_40-49,female,meat50,40-49
1.964,1.671,meat <50_female_50-59,female,meat50,50-59
2.003,1.718,meat <50_female_60-69,female,meat50,60-69
1.949,1.667,meat <50_female_70-79,female,meat50,70-79
1.921,1.546,meat <50_male_20-29,male,meat50,20-29
2.041,1.645,meat <50_male_30-39,male,meat50,30-39
2.026,1.547,meat <50_male_40-49,male,meat50,40-49
2.094,1.596,meat <50_male_50-59,male,meat50,50-59
2.031,1.645,meat <50_male_60-69,male,meat50,60-69
2.039,1.797,meat <50_male_70-79,male,meat50,70-79
3.690,2.803,meat 100+_female_20-29,female,meat100,20-29
3.911,2.613,meat 100+_female_30-39,female,meat100,30-39
4.405,2.575,meat 100+_female_40-49,female,meat100,40-49
4.553,2.650,meat 100+_female_50-59,female,meat100,50-59
4.505,2.707,meat 100+_female_60-69,female,meat100,60-69
4.649,2.671,meat 100+_female_70-79,female,meat100,70-79
4.417,3.185,meat 100+_male_20-29,male,meat100,20-29
4.207,2.872,meat 100+_male_30-39,male,meat100,30-39
4.402,2.600,meat 100+_male_40-49,male,meat100,40-49
4.534,2.672,meat 100+_male_50-59,male,meat100,50-59
4.405,2.671,meat 100+_male_60-69,male,meat100,60-69
4.683,2.754,meat 100+_male_70-79,male,meat100,70-79
2.314,2.049,meat50-99_female_20-29,female,meat,20-29
2.486,1.987,meat50-99_female_30-39,female,meat,30-39
2.704,2.007,meat50-99_female_40-49,female,meat,40-49
2.771,2.061,meat50-99_female_50-59,female,meat,50-59
2.682,2.197,meat50-99_female_60-69,female,meat,60-69
2.725,2.159,meat50-99_female_70-79,female,meat,70-79
2.512,2.255,meat50-99_male_20-29,male,meat,20-29
2.709,2.146,meat50-99_male_30-39,male,meat,30-39
2.835,2.033,meat50-99_male_40-49,male,meat,40-49
2.794,2.092,meat50-99_male_50-59,male,meat,50-59
2.786,2.107,meat50-99_male_60-69,male,meat,60-69
2.809,2.125,meat50-99_male_70-79,male,meat,70-79
0.592,0.129,vegan_female_20-29,female,vegan,20-29
0.742,0.133,vegan_female_30-39,female,vegan,30-39
0.825,0.245,vegan_female_40-49,female,vegan,40-49
0.786,0.279,vegan_female_50-59,female,vegan,50-59
0.858,0.351,vegan_female_60-69,female,vegan,60-69
0.829,0.446,vegan_female_70-79,female,vegan,70-79
0.837,0.347,vegan_male_20-29,male,vegan,20-29
0.823,0.196,vegan_male_30-39,male,vegan,30-39
0.895,0.211,vegan_male_40-49,male,vegan,40-49
0.832,0.158,vegan_male_50-59,male,vegan,50-59
0.736,0.352,vegan_male_60-69,male,vegan,60-69
0.746,0.205,vegan_male_70-79,male,vegan,70-79
1.284,0.833,veggie_female_20-29,female,veggie,20-29
1.385,0.801,veggie_female_30-39,female,veggie,30-39
1.467,0.835,veggie_female_40-49,female,veggie,40-49
1.498,0.874,veggie_female_50-59,female,veggie,50-59
1.471,0.887,veggie_female_60-69,female,veggie,60-69
1.431,0.818,veggie_female_70-79,female,veggie,70-79
1.562,1.000,veggie_male_20-29,male,veggie,20-29
1.581,0.907,veggie_male_30-39,male,veggie,30-39
1.535,0.826,veggie_male_40-49,male,veggie,40-49
1.470,0.830,veggie_male_50-59,male,veggie,50-59
1.498,0.809,veggie_male_60-69,male,veggie,60-69
1.482,0.924,veggie_male_70-79,male,veggie,70-79
1.083,4.313,fish_female_20-29,female,fish,20-29
1.087,4.153,fish_female_30-39,female,fish,30-39
1.081,3.763,fish_female_40-49,female,fish,40-49
1.078,3.654,fish_female_50-59,female,fish,50-59
1.170,3.317,fish_female_60-69,female,fish,60-69
1.157,3.007,fish_female_70-79,female,fish,70-79
1.386,5.190,fish_male_20-29,male,fish,20-29
1.273,4.482,fish_male_30-39,male,fish,30-39
1.231,4.015,fish_male_40-49,male,fish,40-49
1.151,4.015,fish_male_50-59,male,fish,50-59
1.216,3.478,fish_male_60-69,male,fish,60-69
1.272,3.414,fish_male_70-79,male,fish,70-79
1.431,4.468,meat <50_female_20-29,female,meat50,20-29
1.452,4.161,meat <50_female_30-39,female,meat50,30-39
1.532,3.858,meat <50_female_40-49,female,meat50,40-49
1.596,3.657,meat <50_female_50-59,female,meat50,50-59
1.644,3.310,meat <50_female_60-69,female,meat50,60-69
1.654,3.239,meat <50_female_70-79,female,meat50,70-79
1.637,4.440,meat <50_male_20-29,male,meat50,20-29
1.658,4.384,meat <50_male_30-39,male,meat50,30-39
1.657,3.963,meat <50_male_40-49,male,meat50,40-49
1.679,4.038,meat <50_male_50-59,male,meat50,50-59
1.734,3.444,meat <50_male_60-69,male,meat50,60-69
1.768,3.356,meat <50_male_70-79,male,meat50,70-79
4.402,6.398,meat 100+_female_20-29,female,meat100,20-29
4.587,6.069,meat 100+_female_30-39,female,meat100,30-39
5.200,5.311,meat 100+_female_40-49,female,meat100,40-49
5.427,4.907,meat 100+_female_50-59,female,meat100,50-59
5.394,4.614,meat 100+_female_60-69,female,meat100,60-69
5.717,4.318,meat 100+_female_70-79,female,meat100,70-79
5.463,6.360,meat 100+_male_20-29,male,meat100,20-29
4.989,6.413,meat 100+_male_30-39,male,meat100,30-39
5.310,5.360,meat 100+_male_40-49,male,meat100,40-49
5.439,5.047,meat 100+_male_50-59,male,meat100,50-59
5.327,4.598,meat 100+_male_60-69,male,meat100,60-69
5.915,4.402,meat 100+_male_70-79,male,meat100,70-79
2.332,5.380,meat50-99_female_20-29,female,meat,20-29
2.467,4.964,meat50-99_female_30-39,female,meat,30-39
2.695,4.600,meat50-99_female_40-49,female,meat,40-49
2.753,4.151,meat50-99_female_50-59,female,meat,50-59
2.705,3.853,meat50-99_female_60-69,female,meat,60-69
2.802,3.514,meat50-99_female_70-79,female,meat,70-79
2.494,5.449,meat50-99_male_20-29,male,meat,20-29
2.634,5.297,meat50-99_male_30-39,male,meat,30-39
2.839,4.600,meat50-99_male_40-49,male,meat,40-49
2.873,4.525,meat50-99_male_50-59,male,meat,50-59
2.938,3.990,meat50-99_male_60-69,male,meat,60-69
3.105,3.626,meat50-99_male_70-79,male,meat,70-79
0.112,2.670,vegan_female_20-29,female,vegan,20-29
0.177,2.495,vegan_female_30-39,female,vegan,30-39
0.240,2.236,vegan_female_40-49,female,vegan,40-49
0.166,2.140,vegan_female_50-59,female,vegan,50-59
0.222,1.969,vegan_female_60-69,female,vegan,60-69
0.299,3.338,vegan_female_70-79,female,vegan,70-79
0.295,3.481,vegan_male_20-29,male,vegan,20-29
0.235,2.753,vegan_male_30-39,male,vegan,30-39
0.246,1.979,vegan_male_40-49,male,vegan,40-49
0.173,2.369,vegan_male_50-59,male,vegan,50-59
0.170,1.771,vegan_male_60-69,male,vegan,60-69
0.257,2.392,vegan_male_70-79,male,vegan,70-79
0.778,3.390,veggie_female_20-29,female,veggie,20-29
0.789,3.168,veggie_female_30-39,female,veggie,30-39
0.794,2.847,veggie_female_40-49,female,veggie,40-49
0.779,2.616,veggie_female_50-59,female,veggie,50-59
0.843,2.284,veggie_female_60-69,female,veggie,60-69
0.897,2.089,veggie_female_70-79,female,veggie,70-79
1.009,3.911,veggie_male_20-29,male,veggie,20-29
0.970,3.762,veggie_male_30-39,male,veggie,30-39
0.915,3.255,veggie_male_40-49,male,veggie,40-49
0.854,3.287,veggie_male_50-59,male,veggie,50-59
0.862,2.390,veggie_male_60-69,male,veggie,60-69
0.942,3.096,veggie_male_70-79,male,veggie,70-79
1.219,1.907,fish_female_20-29,female,fish,20-29
1.248,1.932,fish_female_30-39,female,fish,30-39
1.255,1.913,fish_female_40-49,female,fish,40-49
1.245,2.011,fish_female_50-59,female,fish,50-59
1.279,2.108,fish_female_60-69,female,fish,60-69
1.205,2.175,fish_female_70-79,female,fish,70-79
1.719,2.285,fish_male_20-29,male,fish,20-29
1.599,2.205,fish_male_30-39,male,fish,30-39
1.501,2.039,fish_male_40-49,male,fish,40-49
1.464,2.008,fish_male_50-59,male,fish,50-59
1.360,2.137,fish_male_60-69,male,fish,60-69
1.336,2.290,fish_male_70-79,male,fish,70-79
1.469,1.877,meat <50_female_20-29,female,meat50,20-29
1.480,1.940,meat <50_female_30-39,female,meat50,30-39
1.550,1.930,meat <50_female_40-49,female,meat50,40-49
1.570,2.019,meat <50_female_50-59,female,meat50,50-59
1.584,2.092,meat <50_female_60-69,female,meat50,60-69
